gene	source
CACNA1E	ASD_Satterstrom
GNAI1	ASD_Satterstrom
TCF20	ASD_Satterstrom
FOXP2	ASD_Satterstrom
NSD1	ASD_Satterstrom
TCF7L2	ASD_Satterstrom
LDB1	ASD_Satterstrom
EIF3G	ASD_Satterstrom
PHF2	ASD_Satterstrom
KIAA0232	ASD_Satterstrom
VEZF1	ASD_Satterstrom
GFAP	ASD_Satterstrom
IRF2BPL	ASD_Satterstrom
ZMYND8	ASD_Satterstrom
SATB1	ASD_Satterstrom
RFX3	ASD_Satterstrom
SCN1A	ASD_Satterstrom
PPP5C	ASD_Satterstrom
TRIM23	ASD_Satterstrom
TRAF7	ASD_Satterstrom
ELAVL3	ASD_Satterstrom
GRIA2	ASD_Satterstrom
LRRC4C	ASD_Satterstrom
CACNA2D3	ASD_Satterstrom
NUP155	ASD_Satterstrom
KMT2E	ASD_Satterstrom
NR3C2	ASD_Satterstrom
NACC1	ASD_Satterstrom
PTK7	ASD_Satterstrom
PPP1R9B	ASD_Satterstrom
GABRB2	ASD_Satterstrom
HDLBP	ASD_Satterstrom
TAOK1	ASD_Satterstrom
UBR1	ASD_Satterstrom
TEK	ASD_Satterstrom
KCNMA1	ASD_Satterstrom
CORO1A	ASD_Satterstrom
HECTD4	ASD_Satterstrom
NCOA1	ASD_Satterstrom
DIP2A	ASD_Satterstrom
ABL1	DDD
ADCY5	DDD
ADNP	DDD
AFF3	DDD
AGO1	DDD
AHDC1	DDD
ALG13	DDD
AMER1	DDD
ANKRD11	DDD
AP2S1	DDD
ARF1	DDD
ARHGAP35	DDD
ARID1A	DDD
ARID1B	DDD
ARID2	DDD
ASXL1	DDD
ASXL3	DDD
ATP1A3	DDD
ATP6V0A1	DDD
ATP6V1A	DDD
ATRX	DDD
AUTS2	DDD
BCL11A	DDD
BCL11B	DDD
BCOR	DDD
BRAF	DDD
BRPF1	DDD
CACNA1A	DDD
CACNA1C	DDD
CACNA1E	DDD
CACNA1G	DDD
CAMK2B	DDD
CAMK2G	DDD
CAMTA1	DDD
CASK	DDD
CBL	DDD
CDK13	DDD
CDK8	DDD
CDKL5	DDD
CHAMP1	DDD
CHD2	DDD
CHD3	DDD
CHD4	DDD
CHD7	DDD
CHD8	DDD
CLCN4	DDD
CLTC	DDD
CNKSR2	DDD
CNOT3	DDD
COG4	DDD
COL2A1	DDD
COL4A1	DDD
COL4A3BP	DDD
COL6A1	DDD
CREBBP	DDD
CSNK2A1	DDD
CSNK2B	DDD
CTBP1	DDD
CTCF	DDD
CTNNB1	DDD
DDX23	DDD
DDX3X	DDD
DEAF1	DDD
DHDDS	DDD
DLG4	DDD
DNM1	DDD
DNM1L	DDD
DNMT3A	DDD
DPF2	DDD
DSP	DDD
DYNC1H1	DDD
DYRK1A	DDD
EBF3	DDD
EEF1A2	DDD
EFTUD2	DDD
EHMT1	DDD
EP300	DDD
ERF	DDD
FBN1	DDD
FBXO11	DDD
FBXW7	DDD
FGF12	DDD
FGFR2	DDD
FGFR3	DDD
FOXG1	DDD
FOXP1	DDD
FOXP2	DDD
GABRA1	DDD
GABRB2	DDD
GABRB3	DDD
GATA3	DDD
GATAD2B	DDD
GIGYF1	DDD
GNAI1	DDD
GNAO1	DDD
GNAS	DDD
GNB1	DDD
GNB2	DDD
GRIA2	DDD
GRIN1	DDD
GRIN2A	DDD
GRIN2B	DDD
H3F3A	DDD
HDAC4	DDD
HDAC8	DDD
HECW2	DDD
HIST1H1E	DDD
HIVEP2	DDD
HK1	DDD
HNRNPD	DDD
HNRNPK	DDD
HNRNPU	DDD
HRAS	DDD
HUWE1	DDD
IQSEC2	DDD
IRF2BPL	DDD
ITPR1	DDD
KANSL1	DDD
KAT6A	DDD
KAT6B	DDD
KCNA2	DDD
KCNB1	DDD
KCND3	DDD
KCNH1	DDD
KCNK3	DDD
KCNQ2	DDD
KCNQ3	DDD
KCNT1	DDD
KDM5B	DDD
KDM5C	DDD
KDM6A	DDD
KDM6B	DDD
KIDINS220	DDD
KIF11	DDD
KIF1A	DDD
KIF5C	DDD
KLF7	DDD
KMT2A	DDD
KMT2B	DDD
KMT2C	DDD
KMT2D	DDD
KMT2E	DDD
KMT5B	DDD
KRAS	DDD
LZTR1	DDD
MAGEL2	DDD
MAP2K1	DDD
MAP3K7	DDD
MAST1	DDD
MBD5	DDD
MECP2	DDD
MED12	DDD
MED13L	DDD
MEF2C	DDD
MEIS2	DDD
MFN2	DDD
MIB1	DDD
MMGT1	DDD
MN1	DDD
MORC2	DDD
MSL2	DDD
MSL3	DDD
MTOR	DDD
MYCN	DDD
MYT1L	DDD
NAA10	DDD
NAA15	DDD
NACC1	DDD
NEXMIF	DDD
NFIA	DDD
NFIX	DDD
NOTCH1	DDD
NR2F1	DDD
NR4A2	DDD
NSD1	DDD
NSD2	DDD
ODC1	DDD
OGT	DDD
PACS1	DDD
PACS2	DDD
PBX1	DDD
PCDH19	DDD
PDHA1	DDD
PHF21A	DDD
PHF6	DDD
PHIP	DDD
PIK3CA	DDD
PIK3R1	DDD
PIK3R2	DDD
POGZ	DDD
POU3F3	DDD
PPM1D	DDD
PPP1CB	DDD
PPP2CA	DDD
PPP2R1A	DDD
PPP2R5D	DDD
PRKAR1B	DDD
PRPF8	DDD
PRR12	DDD
PSMC5	DDD
PTCH1	DDD
PTEN	DDD
PTPN11	DDD
PUF60	DDD
PURA	DDD
QRICH1	DDD
RAB14	DDD
RAC1	DDD
RAI1	DDD
RERE	DDD
RHOBTB2	DDD
RIT1	DDD
RPS6KA3	DDD
SAMD9	DDD
SATB1	DDD
SATB2	DDD
SCN1A	DDD
SCN2A	DDD
SCN8A	DDD
SET	DDD
SETBP1	DDD
SETD1A	DDD
SETD2	DDD
SETD5	DDD
SHANK3	DDD
SHOC2	DDD
SIN3A	DDD
SKI	DDD
SLC2A1	DDD
SLC35A2	DDD
SLC6A1	DDD
SMAD4	DDD
SMARCA2	DDD
SMARCA4	DDD
SMARCB1	DDD
SMC1A	DDD
SNAP25	DDD
SON	DDD
SOX10	DDD
SOX11	DDD
SOX5	DDD
SPAST	DDD
SPEN	DDD
SPTAN1	DDD
SRCAP	DDD
SRRM2	DDD
STAG2	DDD
STXBP1	DDD
SYNGAP1	DDD
SYT1	DDD
TAB2	DDD
TAF1	DDD
TAOK1	DDD
TBL1XR1	DDD
TCF20	DDD
TCF4	DDD
TCF7L2	DDD
TFE3	DDD
TLK2	DDD
TMEM106B	DDD
TRAF7	DDD
TRIO	DDD
TRIP12	DDD
TRPM3	DDD
TRRAP	DDD
U2AF2	DDD
UBE3A	DDD
UBTF	DDD
UPF1	DDD
USP7	DDD
USP9X	DDD
VAMP2	DDD
WAC	DDD
WDR26	DDD
WDR37	DDD
WDR45	DDD
YY1	DDD
ZBTB18	DDD
ZBTB20	DDD
ZC4H2	DDD
ZEB2	DDD
ZFHX4	DDD
ZMYND11	DDD
ZNF148	DDD
ZNF292	DDD
SETD1A	SCZ_SCHEMA
CUL1	SCZ_SCHEMA
XPO7	SCZ_SCHEMA
TRIO	SCZ_SCHEMA
CACNA1G	SCZ_SCHEMA
SP4	SCZ_SCHEMA
GRIA3	SCZ_SCHEMA
GRIN2A	SCZ_SCHEMA
HERC1	SCZ_SCHEMA
RB1CC1	SCZ_SCHEMA
ACTB	SFARI
ACTL6B	SFARI
ACY1	SFARI
ADNP	SFARI
ADSL	SFARI
AFF2	SFARI
AHDC1	SFARI
AHI1	SFARI
ALDH1A3	SFARI
ALDH5A1	SFARI
ANK2	SFARI
ANK3	SFARI
ANKRD11	SFARI
ANKS1B	SFARI
AP1S2	SFARI
AP2S1	SFARI
ARHGEF9	SFARI
ARID1B	SFARI
ARID2	SFARI
ARX	SFARI
ASH1L	SFARI
ASXL3	SFARI
ATP1A1	SFARI
ATP1A3	SFARI
ATRX	SFARI
AUTS2	SFARI
BAZ2B	SFARI
BCKDK	SFARI
BCL11A	SFARI
BCORL1	SFARI
ALG6	SFARI
BRAF	SFARI
BRSK2	SFARI
BRWD3	SFARI
C12orf57	SFARI
CACNA1A	SFARI
CACNA1C	SFARI
CACNA1E	SFARI
CACNA2D3	SFARI
CAMK2A	SFARI
CAMK2B	SFARI
CAPRIN1	SFARI
CASK	SFARI
CASZ1	SFARI
CCNK	SFARI
CDK13	SFARI
CDK8	SFARI
CDKL5	SFARI
CELF4	SFARI
CEP290	SFARI
CHAMP1	SFARI
CHD1	SFARI
CHD2	SFARI
CHD3	SFARI
CHD7	SFARI
CHD8	SFARI
CHKB	SFARI
CIC	SFARI
CLCN4	SFARI
CNKSR2	SFARI
CNOT3	SFARI
CNTNAP2	SFARI
CORO1A	SFARI
CREBBP	SFARI
CSDE1	SFARI
CSNK2A1	SFARI
CTCF	SFARI
CTNNA2	SFARI
CTNNB1	SFARI
CUL3	SFARI
CUX2	SFARI
CYP27A1	SFARI
DDX3X	SFARI
DEAF1	SFARI
DEPDC5	SFARI
DHCR7	SFARI
DHX30	SFARI
DIP2A	SFARI
DLG4	SFARI
DLL1	SFARI
DMD	SFARI
DMPK	SFARI
DNMT3A	SFARI
DOLK	SFARI
DPYSL2	SFARI
DSCAM	SFARI
DYNC1H1	SFARI
DYRK1A	SFARI
EBF3	SFARI
EEF1A2	SFARI
EHMT1	SFARI
EIF3G	SFARI
ELAVL3	SFARI
EP300	SFARI
FBXO11	SFARI
FMR1	SFARI
FOXG1	SFARI
FOXP1	SFARI
FOXP2	SFARI
FRMPD4	SFARI
GABBR2	SFARI
GABRA3	SFARI
GABRB3	SFARI
GATM	SFARI
FBRSL1	SFARI
GABRB2	SFARI
GALNT2	SFARI
GFAP	SFARI
GIGYF1	SFARI
GIGYF2	SFARI
GNAI1	SFARI
GRIA2	SFARI
GRIN2B	SFARI
HCFC1	SFARI
HCN1	SFARI
HDAC4	SFARI
HDAC8	SFARI
HDLBP	SFARI
HECTD4	SFARI
HEPACAM	SFARI
HERC2	SFARI
HIVEP2	SFARI
HNRNPH2	SFARI
HNRNPU	SFARI
HOXA1	SFARI
HRAS	SFARI
HUWE1	SFARI
INTS1	SFARI
IQSEC2	SFARI
IRF2BPL	SFARI
KANSL1	SFARI
KAT6A	SFARI
KATNAL2	SFARI
KCNB1	SFARI
KCNQ3	SFARI
KDM3B	SFARI
KDM5B	SFARI
KDM5C	SFARI
KDM6B	SFARI
KIF5C	SFARI
KMT2A	SFARI
KMT2C	SFARI
KMT2E	SFARI
KPTN	SFARI
KMT5B	SFARI
LNPK	SFARI
KIAA0232	SFARI
LDB1	SFARI
LRRC4C	SFARI
LZTR1	SFARI
MAGEL2	SFARI
MAP1A	SFARI
MBD5	SFARI
MBOAT7	SFARI
MECP2	SFARI
MED12L	SFARI
MED13	SFARI
MED13L	SFARI
MEF2C	SFARI
MEIS2	SFARI
MKX	SFARI
MSL3	SFARI
MTOR	SFARI
MYT1L	SFARI
NAA15	SFARI
NACC1	SFARI
NBEA	SFARI
NCKAP1	SFARI
NF1	SFARI
NFIB	SFARI
NFIX	SFARI
NIPBL	SFARI
NLGN2	SFARI
NLGN3	SFARI
NLGN4X	SFARI
NR2F1	SFARI
NR3C2	SFARI
NR4A2	SFARI
NRXN1	SFARI
NCOA1	SFARI
NOVA2	SFARI
NRXN2	SFARI
NRXN3	SFARI
NSD1	SFARI
NTNG1	SFARI
NTNG2	SFARI
NTRK2	SFARI
OCRL	SFARI
PACS1	SFARI
PACS2	SFARI
PAH	SFARI
PAK1	SFARI
PAX5	SFARI
PAX6	SFARI
PCCA	SFARI
PCCB	SFARI
PCDH19	SFARI
NUP155	SFARI
PHF2	SFARI
PHF21A	SFARI
PHF3	SFARI
PHF8	SFARI
PHIP	SFARI
NSD2	SFARI
PIK3R2	SFARI
POGZ	SFARI
POMGNT1	SFARI
POU3F3	SFARI
PPM1D	SFARI
PPP2CA	SFARI
PPP2R5D	SFARI
PRKD1	SFARI
PRODH	SFARI
PRR12	SFARI
PSMD12	SFARI
PTCHD1	SFARI
PHF12	SFARI
POLR3A	SFARI
PPP1R9B	SFARI
PPP5C	SFARI
PTEN	SFARI
PTK7	SFARI
PTPN11	SFARI
RAC1	SFARI
RAI1	SFARI
RALA	SFARI
RELN	SFARI
RERE	SFARI
RFX3	SFARI
RHEB	SFARI
RIMS1	SFARI
RLIM	SFARI
RNF135	SFARI
RORA	SFARI
RORB	SFARI
RPS6KA3	SFARI
SATB2	SFARI
SCN1A	SFARI
RAD21	SFARI
RIMS2	SFARI
RSRC1	SFARI
SATB1	SFARI
SCN2A	SFARI
SCN8A	SFARI
SETBP1	SFARI
SETD1B	SFARI
SETD2	SFARI
SETD5	SFARI
SGSH	SFARI
SETD1A	SFARI
SHANK2	SFARI
SHANK3	SFARI
SIK1	SFARI
SIN3A	SFARI
SLC1A2	SFARI
SKI	SFARI
SLC45A1	SFARI
SLC6A1	SFARI
SLC9A6	SFARI
SMARCA2	SFARI
SMARCA4	SFARI
SMARCC2	SFARI
SMC1A	SFARI
SMC3	SFARI
SNX14	SFARI
SON	SFARI
SOX5	SFARI
SPAST	SFARI
SRCAP	SFARI
STAG1	SFARI
STXBP1	SFARI
SOX6	SFARI
SUPT16H	SFARI
SYN1	SFARI
SYNE1	SFARI
SYNGAP1	SFARI
SRPRA	SFARI
SYT1	SFARI
TAF1	SFARI
TANC2	SFARI
TAOK1	SFARI
TBC1D23	SFARI
TBCK	SFARI
TBL1XR1	SFARI
TBR1	SFARI
TBX1	SFARI
TCF20	SFARI
TCF4	SFARI
TCF7L2	SFARI
TLK2	SFARI
TM4SF20	SFARI
TEK	SFARI
TET3	SFARI
TM9SF4	SFARI
TRAF7	SFARI
TRAPPC6B	SFARI
TRIO	SFARI
TRIM23	SFARI
TRIP12	SFARI
TRRAP	SFARI
TSC1	SFARI
TSC2	SFARI
TSHZ3	SFARI
TTI2	SFARI
TTN	SFARI
UBE3A	SFARI
UNC13A	SFARI
UPF3B	SFARI
USP7	SFARI
USP9X	SFARI
VAMP2	SFARI
VPS13B	SFARI
WAC	SFARI
WASF1	SFARI
WDFY3	SFARI
WDR26	SFARI
VEZF1	SFARI
XPC	SFARI
YWHAG	SFARI
YY1	SFARI
ZBTB20	SFARI
ZNF292	SFARI
ZNF462	SFARI
UBR1	SFARI
ZMIZ1	SFARI
ZMYM2	SFARI
ZMYND8	SFARI
ZSWIM6	SFARI
ARID1B	ASD_ID_DDD_Coe
ANKRD11	ASD_ID_DDD_Coe
KMT2A	ASD_ID_DDD_Coe
ADNP	ASD_ID_DDD_Coe
SYNGAP1	ASD_ID_DDD_Coe
ASXL3	ASD_ID_DDD_Coe
SETD5	ASD_ID_DDD_Coe
CTNNB1	ASD_ID_DDD_Coe
CHD8	ASD_ID_DDD_Coe
EP300	ASD_ID_DDD_Coe
KAT6B	ASD_ID_DDD_Coe
AHDC1	ASD_ID_DDD_Coe
SHANK3	ASD_ID_DDD_Coe
KAT6A	ASD_ID_DDD_Coe
TCF20	ASD_ID_DDD_Coe
GATAD2B	ASD_ID_DDD_Coe
ASH1L	ASD_ID_DDD_Coe
EHMT1	ASD_ID_DDD_Coe
WAC	ASD_ID_DDD_Coe
