gene	source
SNX5	ASD_ID_DDD_Coe
DLX3	ASD_ID_DDD_Coe
AGO4	ASD_ID_DDD_Coe
SUSD4	ASD_ID_DDD_Coe
RFX8	ASD_ID_DDD_Coe
ITPR1	ASD_ID_DDD_Coe
HMGXB3	ASD_ID_DDD_Coe
PRKD1	ASD_ID_DDD_Coe
GNAI1	ASD_ID_DDD_Coe
DEAF1	ASD_ID_DDD_Coe
AGO1	ASD_ID_DDD_Coe
CABP7	ASD_ID_DDD_Coe
ADAP1	ASD_ID_DDD_Coe
AQP10	ASD_ID_DDD_Coe
TMEM178A	ASD_ID_DDD_Coe
EGLN2	ASD_ID_DDD_Coe
PRPF18	ASD_ID_DDD_Coe
SNAPC5	ASD_ID_DDD_Coe
YWHAG	ASD_ID_DDD_Coe
SYT1	ASD_ID_DDD_Coe
PSMG4	ASD_ID_DDD_Coe
PLAC8L1	ASD_ID_DDD_Coe
PTPN11	ASD_ID_DDD_Coe
GABRB2	ASD_ID_DDD_Coe
VAMP2	ASD_ID_DDD_Coe
TMEM42	ASD_ID_DDD_Coe
SMAD4	ASD_ID_DDD_Coe
CAPN15	ASD_ID_DDD_Coe
TAOK1	ASD_ID_DDD_Coe
HUWE1	ASD_ID_DDD_Coe
PLK5	ASD_ID_DDD_Coe
SHISA6	ASD_ID_DDD_Coe
DNM1	ASD_ID_DDD_Coe
BTF3	ASD_ID_DDD_Coe
RAC1	ASD_ID_DDD_Coe
PPP1CB	ASD_ID_DDD_Coe
GRIN2B	ASD_ID_DDD_Coe
KCNQ2	ASD_ID_DDD_Coe
DNMT3A	ASD_ID_DDD_Coe
CHD3	ASD_ID_DDD_Coe
EFTUD2	ASD_ID_DDD_Coe
CDK13	ASD_ID_DDD_Coe
TRIO	ASD_ID_DDD_Coe
CTCF	ASD_ID_DDD_Coe
ZMYND11	ASD_ID_DDD_Coe
HECW2	ASD_ID_DDD_Coe
SCN8A	ASD_ID_DDD_Coe
GNAO1	ASD_ID_DDD_Coe
DYNC1H1	ASD_ID_DDD_Coe
SMARCA4	ASD_ID_DDD_Coe
KCND3	ASD_ID_DDD_Coe
EEF1A2	ASD_ID_DDD_Coe
PIK3CA	ASD_ID_DDD_Coe
NR2F1	ASD_ID_DDD_Coe
CSNK2A1	ASD_ID_DDD_Coe
COL4A3BP	ASD_ID_DDD_Coe
NR4A2	ASD_ID_DDD_Coe
MAP2K1	ASD_ID_DDD_Coe
SMARCA2	ASD_ID_DDD_Coe
BRAF	ASD_ID_DDD_Coe
PACS1	ASD_ID_DDD_Coe
KCNQ3	ASD_ID_DDD_Coe
KIF1A	ASD_ID_DDD_Coe
PPP2R1A	ASD_ID_DDD_Coe
RAB11A	ASD_ID_DDD_Coe
KCNH1	ASD_ID_DDD_Coe
NAA10	ASD_ID_DDD_Coe
CACNA1E	ASD_ID_DDD_Coe
PAPOLG	ASD_ID_DDD_Coe
AGO3	ASD_ID_DDD_Coe
PDK2	ASD_ID_DDD_Coe
PACS2	ASD_ID_DDD_Coe
ACTC1	ASD_ID_DDD_Coe
KIF5C	ASD_ID_DDD_Coe
STC1	ASD_ID_DDD_Coe
SEPT10	ASD_ID_DDD_Coe
FAM104A	ASD_ID_DDD_Coe
HIST1H2AC	ASD_ID_DDD_Coe
TAF1	ASD_ID_DDD_Coe
U2AF2	ASD_ID_DDD_Coe
TNPO2	ASD_ID_DDD_Coe
